Column1,Texto antes del delimitador,Columna1,Columna2,Columna2
08027562,2,,,
08027569,2,,,
08027584,2,,,
08027592,2,,,
08027597,2,,,
08027598,2,,,
08027610,2,,,
08027690,2,,,
08027697,2,,,
08027702,2,,,
08027712,2,,,
08027722,2,,,
08027726,2,,,
08027735,2,,,
08027740,2,,,
08027741,2,,,
08027746,2,,,
08027757,2,,,
08027771,2,,,
08027772,2,,,
08027786,2,,,
08027795,2,,,
08027831,2,,,
08027841,2,,,
08027860,2,,,
08027862,2,,,
08027873,2,,,
08027875,2,,,
08027881,2,,,
08027884,2,,,
08027903,2,,,
08027914,2,,,
08027993,2,,,
08027995,2,,,
08028004,2,,,
08028017,2,,,
08028045,2,,,
08028098,2,,,
08028152,2,,,
08028155,2,,,
08028158,2,,,
08028182,2,,,
08028183,2,,,
08028189,2,,,
08028198,2,,,
08028201,2,,,
08028205,2,,,
08028210,2,,,
08028217,2,,,
08028223,2,,,
08028225,2,,,
08028237,2,,,
08028295,2,,,
08028307,2,,,
08028313,2,,,
08028316,2,,,
08028340,2,,,
08028342,2,,,
08028361,2,,,
08028373,2,,,
08028394,2,,,
08028397,2,,,
08028415,2,,,
08028438,2,,,
08028440,2,,,
08028443,2,,,
08028472,2,,,
08028476,2,,,
08028486,2,,,
08028514,2,,,
08028517,2,,,
08028522,2,,,
08028582,2,,,
08028583,2,,,
08028612,2,,,
08028647,2,,,
08028662,2,,,
08028671,2,,,
08028679,2,,,
08028692,2,,,
08028698,2,,,
08028714,2,,,
08028726,2,,,
08028731,2,,,
08028746,2,,,
08028787,2,,,
08028789,2,,,
08028797,2,,,
08028862,2,,,
08028875,2,,,
08028882,2,,,
08028891,2,,,
08028892,2,,,
08028908,2,,,
08028917,2,,,
08028950,2,,,
08028960,2,,,
08028965,2,,,
08028966,2,,,
08028969,2,,,
08028970,2,,,
08028990,2,,,
08029022,2,,,
08029023,2,,,
08029034,2,,,
08029042,2,,,
08029057,2,,,
08029070,2,,,
08029110,2,,,
08029114,2,,,
08029121,2,,,
08029148,2,,,
08029149,2,,,
08029163,2,,,
08029186,2,,,
08029194,2,,,
08029209,2,,,
08029210,2,,,
08029216,2,,,
08029223,2,,,
08029300,2,,,
08029320,2,,,
08029321,2,,,
08029331,2,,,
08029338,2,,,
08029345,2,,,
08029348,2,,,
08029355,2,,,
08029375,2,,,
08029381,2,,,
08029405,2,,,
08029408,2,,,
08029434,2,,,
08029448,2,,,
08029502,2,,,
08029530,2,,,
08029562,2,,,
08029578,2,,,
08029604,2,,,
08029605,2,,,
08029608,2,,,
08029624,2,,,
08029645,2,,,
08029646,2,,,
08029647,2,,,
08029654,2,,,
08029656,2,,,
08029676,2,,,
08029685,2,,,
08029711,2,,,
08029713,2,,,
